"A2A.MI","AMP.MI","ATL.MI","AZM.MI","BGN.MI","BMED.MI","BAMI.MI","BPE.MI","BZU.MI","CPR.MI","CNHI.MI","DIA.MI","ENEL.MI","ENI.MI","EXO.MI","FBK.MI","G.MI","HER.MI","IP.MI","ISP.MI","LDO.MI","MB.MI","MONC.MI","PRY.MI","REC.MI","SPM.MI","SRG.MI","STLA.MI","STM.MI","TIT.MI","TEN.MI","TRN.MI","UCG.MI","UNI.MI","date"
0.655707,5.414632,18.926321,14.05076,18.302013,4.547318,8.803615,6.587361,11.743282,2.787065,6.583296,31.849691,2.979872,11.366943,36.694279,4.442062,12.84691,1.791621,12.408165,1.815947,9.691762,6.566525,12.209181,14.626086,12.858056,11.823499,3.098436,5.656343,6.666594,1.00971,10.763516,3.032242,23.439886,3.364866,"2015-02-18"
0.656486,5.352449,19.134306,14.101809,18.309364,4.537045,8.928071,6.859294,11.59428,2.787065,6.710573,32.07719,3.010356,11.366943,37.533436,4.437964,12.959725,1.785071,12.662934,1.817204,9.691762,6.590711,12.516974,14.768492,13.200937,11.635526,3.105665,5.876435,6.589671,0.997053,10.316036,3.033781,23.725742,3.371241,"2015-02-19"
0.654929,5.376366,19.134306,14.325143,18.353485,4.540469,9.072178,7.028081,11.845724,2.761084,6.693017,32.313786,3.013405,11.450885,37.142467,4.421572,12.748198,1.791621,12.719549,1.826008,9.71999,6.614897,12.386395,14.617707,12.99521,11.67312,3.162053,5.916051,6.67514,0.986342,10.14823,3.033781,23.86867,3.382399,"2015-02-20"
0.695813,5.462464,19.350607,14.567617,18.43437,4.533621,8.89532,6.854607,11.752595,2.803598,6.635962,32.450283,3.024074,11.49985,37.31411,4.384692,12.832808,1.785071,12.691242,1.834811,10.322198,6.66327,12.386395,14.894144,13.089502,11.435021,3.16639,6.052508,6.709327,0.992184,9.884534,3.049173,23.909506,3.501946,"2015-02-23"
0.714892,5.462464,19.392204,14.714378,18.897617,4.57471,9.091829,6.831164,11.73397,2.82958,6.592073,32.386589,3.095713,11.646744,37.666943,4.396986,12.924471,1.817824,12.747857,1.837326,10.228103,6.679392,12.339759,14.994668,13.175221,11.666854,3.228561,6.017293,6.752062,0.993158,10.108274,3.086114,24.236191,3.562517,"2015-02-24"
0.712556,5.462464,19.309011,14.567617,18.860851,4.543893,8.888769,6.68582,11.715345,2.831942,6.486741,32.413883,3.085043,11.527828,37.867195,4.495334,12.91037,1.750679,12.625191,1.809659,10.209284,6.502028,12.022638,14.734985,13.380953,11.435021,3.227116,5.88964,6.743515,1.008737,10.020377,3.069183,23.684908,3.565705,"2015-02-25"
0.707105,5.452897,19.325649,14.854756,18.765263,4.674011,8.993574,6.84523,11.73397,2.846113,6.513073,32.286484,3.071326,11.569801,38.000694,4.573194,12.924471,1.760505,12.73842,1.852417,10.199874,6.631021,12.181199,14.869014,13.938135,11.447553,3.245911,6.065713,6.828984,1.037947,10.16421,3.078418,24.154518,3.607149,"2015-02-26"
0.704768,5.452897,19.583546,14.937711,18.603491,4.650043,9.026327,6.910868,11.752595,2.855561,6.495518,32.832485,3.138392,11.667731,37.943481,4.556802,12.973828,1.775244,12.757294,1.876311,10.181054,6.639082,12.56361,14.977916,13.792411,11.51021,3.269045,6.070115,6.794796,1.037947,10.220144,3.101506,24.277027,3.667719,"2015-02-27"
0.712556,5.476814,19.383883,14.944089,18.537315,4.612377,8.89532,6.723328,11.463904,2.857923,6.438463,32.959877,3.168876,11.55581,37.876732,4.679738,12.924471,1.775244,12.946011,1.852417,10.190464,6.626989,12.405049,14.760115,13.920991,11.622993,3.270491,6.206572,7.00847,1.051579,10.124256,3.099967,24.195354,3.707568,"2015-03-02"
0.696202,5.495947,19.234138,14.567617,18.294659,4.608953,8.646408,6.507657,11.519778,2.865009,6.420907,32.759686,3.104859,11.422904,37.008961,4.605976,12.875114,1.739215,12.795037,1.81972,10.246922,6.530246,12.414377,14.642838,13.818126,11.604198,3.216995,5.999687,7.055479,1.048658,10.284071,3.05533,24.072847,3.6199,"2015-03-03"
